question,answer,topic
What is the cost of anti-epileptic medicines at AIIMS?,"Generic anti-epileptics like phenytoin, valproate, and carbamazepine are available at AIIMS at highly subsidised rates; the social worker can assist patients who cannot afford even subsidised costs.",medicine_costs
What is a formulary and how does AIIMS decide which medicines to stock?,"A formulary is the approved list of medicines stocked and prescribed at AIIMS and is reviewed by the hospital drug and therapeutics committee based on evidence, safety, and cost-effectiveness.",prescription
Are eye medicines for retinal conditions expensive and is support available at AIIMS?,Anti-VEGF injections for retinal conditions are among the most expensive medicines and AIIMS works with government schemes and patient support programmes to improve access for eligible patients.,medicine_costs
Can AIIMS help patients access expensive biological medicines through international donations?,AIIMS collaborates with international health organisations and pharmaceutical companies on compassionate access programmes; the treating specialist can advise on available options for specific biologics.,medicine_costs
How does the AIIMS pharmacy handle medicine wastage during inpatient care?,Unused medicines from inpatient stays are returned to the AIIMS ward pharmacy for credit or disposal according to the hospital's medicine management and environmental safety policy.,general_queries
What is the drug price control order in India and how does it protect patients?,The Drug Price Control Order allows the government to cap prices on essential medicines listed in the National List of Essential Medicines to ensure affordability for all patients.,medicine_costs
What are the side effects of iron tablets?,"Iron tablets commonly cause constipation, dark stools, nausea, and stomach cramps; taking them with food reduces nausea but may reduce absorption; taking with vitamin C improves absorption.",side_effects
Can I take an OTC antihistamine if I have an enlarged prostate?,Older sedating antihistamines can worsen urinary retention in men with an enlarged prostate; choose non-sedating options like loratadine or consult a doctor before use.,otc_medicines
What is photosensitivity as a drug side effect?,"Photosensitivity means the medicine makes your skin more sensitive to sunlight, causing redness or rash; medicines like tetracyclines, fluoroquinolones, and some diuretics can cause this.",side_effects
What OTC medicine is safe for a mild headache in pregnancy?,Paracetamol at the lowest effective dose is the safest OTC pain reliever during pregnancy; ibuprofen and aspirin should be avoided especially from twenty weeks onwards.,otc_medicines
What is a Schedule X drug and can it be purchased OTC?,Schedule X drugs are substances with high potential for abuse including psychotropic drugs and narcotics; they require a specially controlled prescription and cannot be purchased OTC.,otc_medicines
What does the instruction apply sparingly mean on a topical prescription?,Apply sparingly means using the smallest amount that covers the affected area; excessive application does not improve results and increases the risk of systemic absorption and side effects.,prescription
What should I do if I am prescribed a medicine I have had a bad reaction to before?,Inform the prescribing doctor and the pharmacist immediately and show your allergy card or record so the prescription can be changed to a safe alternative.,prescription
Does AIIMS charge separately for injections given in the outpatient department?,Minor charges may apply for consumables like syringes and needles at AIIMS OPD; the exact charges are displayed at the cashier counter and are minimal compared to private facilities.,medicine_costs
What side effects are associated with inhalers used for asthma?,Short-acting bronchodilators can cause tremor and palpitations; inhaled corticosteroids can cause oral thrush and hoarseness which is reduced by rinsing the mouth with water after each dose.,side_effects
Can anti-TB medicines cause colour vision changes?,Ethambutol used in TB treatment can cause optic neuritis leading to colour vision changes and reduced visual acuity; vision must be tested before and during treatment and reported immediately if affected.,side_effects
What is a medication error and how does AIIMS work to prevent them?,"A medication error is any preventable event that may cause or lead to inappropriate medication use; AIIMS uses bar-code verification, double-checking systems, and pharmacist review to prevent errors.",general_queries
Can I use OTC antifungal powder for athlete's foot?,Antifungal powders containing clotrimazole or miconazole are effective OTC treatments for athlete's foot; apply to clean dry feet daily for at least four weeks and continue for two weeks after symptoms clear.,otc_medicines
Can grapefruit juice interact with cholesterol-lowering medicines?,"Yes, grapefruit juice significantly increases blood levels of many statins particularly simvastatin and atorvastatin, raising the risk of muscle toxicity; it should be avoided while taking these medicines.",general_queries
What is the role of a drug and therapeutics committee at AIIMS?,"The AIIMS drug and therapeutics committee reviews the hospital formulary, approves new medicines for use, monitors drug safety, and sets prescribing guidelines for all clinical departments.",general_queries
Why do some AIIMS prescriptions include the words not to be dispensed more than once?,This instruction is used for controlled substances or single-episode treatments to prevent unauthorised repeats being filled elsewhere.,prescription
What is the role of the AIIMS department of pharmacology?,"The AIIMS Department of Pharmacology conducts clinical trials, teaches pharmacology to medical students, and provides academic expertise on drug use, interactions, and toxicity to the clinical teams.",general_queries
What precautions should I take before buying any OTC medicine?,"Check the active ingredients for any known allergies, confirm the dose is appropriate for your age and weight, check expiry dates, and inform the pharmacist of all other medicines you are taking.",otc_medicines
How should I administer ear drops correctly?,"Lie with the affected ear facing up, straighten the ear canal by pulling the earlobe back and up in adults, instil the correct number of drops, and remain in position for two to three minutes.",general_queries
What is the difference between a medicine's brand name and its generic name?,The generic name is the approved scientific name for the active compound while the brand name is the commercial name given by the manufacturer; both versions contain the same active ingredient.,general_queries
Can blood pressure medicines cause constipation?,Calcium channel blockers particularly verapamil and diltiazem commonly cause constipation; increasing fluid and fibre intake helps and switching to amlodipine may reduce this side effect.,side_effects
Can beta-blockers cause depression as a side effect?,Some patients report low mood or fatigue with beta-blockers; the evidence for a direct causal link with clinical depression is mixed but any mood change should be discussed with the prescriber.,side_effects
Are mental health medicines available at low cost through AIIMS?,"Psychiatric medicines including antidepressants, antipsychotics, and mood stabilisers are available at AIIMS at government-subsidised rates and free for BPL cardholders.",medicine_costs
Does AIIMS provide free medicines to patients who have lost their income due to serious illness?,The AIIMS Medical Superintendent and social work department have discretionary funds to support patients with acute financial hardship including access to necessary medicines at no charge.,medicine_costs
What is the difference between pharmacology and pharmacy as subjects?,"Pharmacology studies how medicines affect the body and how the body processes medicines while pharmacy covers the preparation, dispensing, quality assurance, and clinical use of medicines.",general_queries
Can I buy antibiotics without a prescription at a pharmacy in India?,Antibiotics are Schedule H drugs in India and legally require a valid prescription; purchasing them without one is illegal and contributes to antibiotic resistance.,otc_medicines
Can I take homeopathic remedies alongside my AIIMS prescription without telling the doctor?,Always inform your doctor about any homeopathic or Ayurvedic preparations you are taking as they may interact with prescription medicines even if the interaction mechanism is not fully established.,general_queries
What is the correct way to dispose of unused OTC medicines?,Return unused medicines to a pharmacy for proper disposal; do not flush them down the toilet or put in general household waste as pharmaceutical waste pollutes water and soil.,otc_medicines
