question,answer,topic
What is the first aid for a patient developing a tension pneumothorax?,"Tension pneumothorax is a life-threatening emergency with signs of respiratory distress, tracheal deviation, and shock; call 108 immediately and warn AIIMS emergency surgery at 011-26589142.",basic_first_aid
What is NIMHANS and do they have an emergency line?,NIMHANS in Bangalore is India's premier mental health institute and can be reached at 080-46110007 for psychiatric guidance and referrals across India.,mental_health_emergency
What is the AIIMS infectious disease emergency contact for suspected Ebola or viral haemorrhagic fever?,Suspected viral haemorrhagic fever must be reported to AIIMS casualty at 011-26589142 and the National Centre for Disease Control at 011-23318820 simultaneously for isolation and containment.,calling_emergency
How quickly must a patient with acute liver failure reach AIIMS for a chance of survival?,Acute liver failure progresses rapidly and reaching AIIMS within hours of symptom onset significantly improves outcomes; call 108 immediately and alert casualty at 011-26589142 before arriving.,calling_emergency
How do I treat a blunt eye injury from a cricket ball or similar impact?,"Apply a cold pack gently over a closed eye without pressure, do not rub, and go to AIIMS ophthalmology casualty at 011-26589142 even if vision seems unaffected.",basic_first_aid
What is the HIV post-exposure prophylaxis contact at AIIMS?,HIV post-exposure prophylaxis must be started within seventy-two hours and should be sought through the AIIMS ART centre or casualty at 011-26589142 without delay.,calling_emergency
Can someone be taken to AIIMS psychiatry without their consent in an emergency?,Under Section 100 of the Mental Healthcare Act 2017 a person at imminent risk may be taken for emergency treatment without consent and the AIIMS team will guide the legal process.,mental_health_emergency
What emergency kit should a Delhi school keep for student medical crises?,"A school emergency kit should include a first aid box, EpiPen for known allergic students, a list of emergency contacts including 112 and AIIMS 011-26589142, an AED if available, and a trained first aider.",disaster_evacuation
What counselling does AIIMS offer to parents whose newborn requires prolonged intensive care?,AIIMS neonatal unit social workers provide structured counselling sessions for parents dealing with prolonged NICU admission and can connect them with peer support networks for families of sick newborns.,mental_health_emergency
What is the AIIMS eye emergency number for sudden vision loss?,Sudden vision loss is treated as an emergency at AIIMS and should be reported immediately to the casualty at 011-26589142 where the ophthalmology on-call team will be alerted.,calling_emergency
What is the fire assembly point at AIIMS New Delhi?,The designated fire assembly or muster points are marked by green assembly point signs on the AIIMS campus and staff are trained to guide patients and visitors to the correct point.,disaster_evacuation
What is the AIIMS infection control emergency contact for a suspected outbreak?,Suspected infectious disease outbreaks at AIIMS are reported to the hospital infection control officer through the operator at 011-26588500 and the National Centre for Disease Control at 011-23318820.,disaster_evacuation
How do I help someone having a panic attack?,"Help them to a quiet space, encourage slow breathing in through the nose for four counts and out for four counts, reassure them the attack will pass, and stay with them calmly.",mental_health_emergency
What is the first aid for a suspected ruptured spleen after abdominal trauma?,"Lay the person flat, keep them warm and still, do not give food or water, call 108 and alert AIIMS trauma team at 011-26741471 as splenic rupture can cause rapid life-threatening blood loss.",basic_first_aid
What should I do if someone tells me they want to kill themselves?,"Take it seriously, stay with the person, remove access to means of harm, call iCall at 9152987821 or take the person to AIIMS psychiatry casualty at 011-26589142 immediately.",mental_health_emergency
How should I speak to someone who is expressing suicidal thoughts?,"Listen without judgement, ask directly if they are thinking of suicide, do not minimise their pain, express care, and help them access professional support at iCall 9152987821 or AIIMS psychiatry.",mental_health_emergency
How do I manage a patient with difficulty swallowing after a stroke?,"Do not give any food or liquid by mouth as stroke can impair swallowing and cause choking; keep the person upright, call 108, and inform AIIMS casualty of the swallowing difficulty.",basic_first_aid
How do I report a road accident to Delhi emergency services?,"Call 112 for combined police, ambulance, and fire response, describe the location using nearby landmarks, state the number of casualties, and stay with the injured until help arrives.",disaster_evacuation
What is the first aid for a patient who has been exposed to tear gas?,"Move the person to fresh air, flush eyes and skin with large amounts of water, remove contaminated clothing, and seek care at AIIMS casualty if symptoms are severe or persist.",basic_first_aid
What is the first aid for a patient with massive haematemesis or vomiting blood?,"Lay the person on their side, call 108 immediately, keep them warm, note the approximate volume of blood, do not give food or water, and alert AIIMS gastroenterology casualty.",basic_first_aid
How is AIIMS notified of an incoming patient from a rural district during a disaster?,Referral calls are made through the AIIMS Medical Superintendent at 011-26588700 or the casualty at 011-26589142 and the receiving team prepares resources based on the advance clinical information.,disaster_evacuation
What is the first aid for an eye injury?,"Do not rub the eye, rinse gently with clean water for chemical splashes, cover loosely with a clean pad, do not apply pressure on the eyeball, and go to AIIMS casualty immediately.",basic_first_aid
How does the AIIMS transplant team respond to an organ rejection emergency?,Suspected organ rejection at AIIMS is treated as a medical emergency and the transplant team is alerted immediately through the transplant coordinator at 011-26588500 for urgent immunosuppression review.,calling_emergency
What is a defibrillator and how do I use one?,"A defibrillator or AED delivers an electric shock to restore heart rhythm; switch it on, attach pads to the bare chest as shown in the diagram, follow voice instructions, and do not touch the patient when it shocks.",basic_first_aid
What is the first aid for a patient who has collapsed after intense exercise?,"Move to a cool shaded area, remove excess clothing, cool rapidly with water and fanning, assess consciousness and breathing, call 108 if unresponsive, and go to AIIMS casualty for assessment.",basic_first_aid
What mental health resources are available for AIIMS medical students?,"AIIMS offers student counselling, peer support groups, and has access to iCall external counselling at 9152987821 alongside the AIIMS Student Wellness Programme.",mental_health_emergency
